txn_id,reference_id,amount,date,narration
BTXN9805620900,RZP2960488639,16048.19,2026-07-11,SALARY CREDIT XYZ CORP
BTXN3446737272,RZP3555656321,50803.34,2026-07-04,RTGS-RZP3555656321-RAZORPAY SOFTWARE PVT LTD
BTXN1798112150,RZP2346922426,4235.60,2026-07-08,NEFT CR-RZP2346922426-RAZORPAY
BTXN1955345537,RZP2145921803,59157.54,2026-07-14,UPI-RAZORPAY SOFTWARE PVT LTD-RZP2145921803
BTXN3834820954,RZP7271954644,23229.36,2026-07-04,NEFT CR-RZP7271954644-RAZORPAY
BTXN7110082321,RZP7635473142,16922.83,2026-07-10,IMPS/RZP7635473142/RAZORPAY SETTLEMENT
BTXN1420514789,RZP6491309593,19110.58,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6491309593
BTXN2461042543,RZP4095476665,51287.42,2026-07-09,IMPS/RZP4095476665/RAZORPAY SETTLEMENT
BTXN4875962612,RZP2015242176,30777.85,2026-07-08,NEFT CR-RZP2015242176-RAZORPAY
BTXN4771526597,RZP8316648259,46069.99,2026-07-14,IMPS/RZP8316648259/RAZORPAY SETTLEMENT
BTXN3342331444,RZP3746317213,2363.30,2026-07-05,NEFT CR-RZP3746317213-RAZORPAY
BTXN1298737106,RZP3303082117,72997.12,2026-07-07,UPI-RAZORPAY SOFTWARE PVT LTD-RZP3303082117
BTXN7533932947,RZP2889238423,14299.54,2026-07-04,SALARY CREDIT XYZ CORP
BTXN3980491761,RZP7076811348,6684.54,2026-07-08,SALARY CREDIT XYZ CORP
BTXN5018948187,RZP6435772945,10250.43,2026-07-13,RTGS-RZP6435772945-RAZORPAY SOFTWARE PVT LTD
BTXN2028439863,RZP7867414708,36901.13,2026-07-02,IMPS/RZP7867414708/RAZORPAY SETTLEMENT
BTXN1164313410,rzp5033992825,65839.36,2026-07-08,IMPS/RZP/992825/PAYOUT
BTXN3119634399,RZP7805745017,67387.80,2026-07-07,IMPS/RZP7805745017/RAZORPAY SETTLEMENT
BTXN5791662169,RZP7857221,54776.61,2026-07-10,IMPS/RZP/221324/PAYOUT
BTXN6587537178,rzp3381183483,31823.25,2026-07-12,IMPS/RZP/183483/PAYOUT
BTXN2349409434,RZP9760623742,6607.76,2026-07-13,IMPS/RZP9760623742/RAZORPAY SETTLEMENT
BTXN2139027119,RZP5334976883,46776.36,2026-07-11,UPI-RAZORPAY SOFTWARE PVT LTD-RZP5334976883
BTXN1945826486,RZP2064746525,5269.93,2026-07-01,NEFT CR-RZP2064746525-RAZORPAY
BTXN8995059760,RZP4228856718,16813.27,2026-07-05,IRCTC TICKET BOOKING
BTXN7597996327,RZP7006365648,21254.37,2026-07-13,IMPS/RZP7006365648/RAZORPAY SETTLEMENT
BTXN5693307665,RZP2193448329,16540.88,2026-07-13,IMPS/RZP2193448329/RAZORPAY SETTLEMENT
BTXN4311931853,RZP9986353481,32056.40,2026-07-06,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9986353481
BTXN2939118223,RZP8357059814,30224.93,2026-07-11,IMPS/RZP8357059814/RAZORPAY SETTLEMENT
BTXN2811967841,RZP4700855390,19024.90,2026-07-04,RTGS-RZP4700855390-RAZORPAY SOFTWARE PVT LTD
BTXN8987073217,RZP9894847574,47517.17,2026-07-04,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9894847574
BTXN4289233844,RZP1338258951,55027.12,2026-07-14,UPI-RAZORPAY SOFTWARE PVT LTD-RZP1338258951
BTXN8429141456,RZP5710360983,63638.33,2026-07-10,IMPS/RZP5710360983/RAZORPAY SETTLEMENT
BTXN2785736751,RZP7767538527,9591.90,2026-07-06,SALARY CREDIT XYZ CORP
BTXN1422701550,RZP8125276666,26895.17,2026-07-07,RTGS-RZP8125276666-RAZORPAY SOFTWARE PVT LTD
BTXN1405126228,RZP7769777475,18603.29,2026-07-08,RTGS-RZP7769777475-RAZORPAY SOFTWARE PVT LTD
BTXN4882343658,RZP2125089309,55721.70,2026-07-11,UPI-RAZORPAY SOFTWARE PVT LTD-RZP2125089309
BTXN6461974809,RZP1346078411,3101.53,2026-07-07,AMAZON RETAIL PAYMENT
BTXN6927597015,RZP3840104345,58093.59,2026-07-02,NEFT CR-RZP3840104345-RAZORPAY
BTXN3962958940,RZP3361388464,20246.72,2026-07-14,RTGS-RZP3361388464-RAZORPAY SOFTWARE PVT LTD
BTXN4218981849,RZP2536778950,51307.63,2026-07-06,RTGS-RZP2536778950-RAZORPAY SOFTWARE PVT LTD
BTXN6859286614,rzp6111349421,53304.50,2026-07-06,IMPS/RZP/349421/PAYOUT
BTXN8289454630,RZP4462197907,38280.63,2026-07-15,NEFT CR RAZORPAY SOFTWARE-197907
BTXN3597724331,RZP2135872495,66783.60,2026-07-13,IMPS/RZP2135872495/RAZORPAY SETTLEMENT
BTXN2137651678,RZP8110054933,29974.58,2026-07-15,RTGS-RZP8110054933-RAZORPAY SOFTWARE PVT LTD
BTXN3315992115,RZP9894264595,18231.35,2026-07-11,RTGS-RZP9894264595-RAZORPAY SOFTWARE PVT LTD
BTXN4944899549,RZP7980611182,63204.37,2026-07-09,NEFT CR-RZP7980611182-RAZORPAY
BTXN4482141802,RZP2770791023,13853.97,2026-07-13,RTGS-RZP2770791023-RAZORPAY SOFTWARE PVT LTD
BTXN6520103410,RZP6002078344,660.58,2026-07-07,IMPS/RZP6002078344/RAZORPAY SETTLEMENT
BTXN9639245200,RZP6947530309,44893.69,2026-07-08,IMPS/RZP6947530309/RAZORPAY SETTLEMENT
BTXN5972484792,RZP9303285822,66124.38,2026-07-16,IMPS/RZP9303285822/RAZORPAY SETTLEMENT
BTXN3783290795,RZP8877444318,12617.73,2026-07-06,NEFT CR-RZP8877444318-RAZORPAY
BTXN5474620894,RZP3343292475,62671.67,2026-07-03,RTGS-RZP3343292475-RAZORPAY SOFTWARE PVT LTD
BTXN9851745355,RZP3090237817,14647.39,2026-07-04,UPI-RAZORPAY SOFTWARE PVT LTD-RZP3090237817
BTXN1240251661,RZP4131575764,12673.49,2026-07-07,IMPS/RZP4131575764/RAZORPAY SETTLEMENT
BTXN4272602734,RZP6555540744,12282.75,2026-07-01,IMPS/RZP6555540744/RAZORPAY SETTLEMENT
BTXN2351531223,RZP4529615275,60475.91,2026-07-07,IMPS/RZP4529615275/RAZORPAY SETTLEMENT
BTXN4633987776,RZP8377088167,15668.00,2026-07-13,RTGS-RZP8377088167-RAZORPAY SOFTWARE PVT LTD
BTXN9703905715,RZP7831113321,2867.81,2026-07-02,NEFT CR-RZP7831113321-RAZORPAY
BTXN6679017210,RZP5296710,16158.61,2026-07-18,IMPS/RZP/710795/PAYOUT
BTXN3561557300,RZP4246059658,64652.17,2026-07-03,NEFT CR-RZP4246059658-RAZORPAY
