txn_id,reference_id,amount,date,narration
BTXN4719780110,RZP4501175349,10601.37,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP4501175349
BTXN9519284858,RZP7597996327,70473.17,2026-07-02,IMPS/RZP7597996327/RAZORPAY SETTLEMENT
BTXN9807970435,RZP2166605339,8637.38,2026-07-12,NEFT CR-RZP2166605339-RAZORPAY
BTXN6661014794,RZP1561387824,22222.05,2026-07-15,RTGS-RZP1561387824-RAZORPAY SOFTWARE PVT LTD
BTXN1510289448,RZP2239534867,29282.99,2026-07-08,IMPS/RZP2239534867/RAZORPAY SETTLEMENT
BTXN3791815554,RZP4755937285,48291.00,2026-07-02,UPI-RAZORPAY SOFTWARE PVT LTD-RZP4755937285
BTXN9703905715,RZP7831113321,2867.81,2026-07-02,NEFT CR-RZP7831113321-RAZORPAY
BTXN7059726570,rzp5778232041,11540.88,2026-07-15,UPI-RAZORPAY SETTLEMENT ORDER 232041
BTXN3397657114,RZP4063879771,48054.36,2026-07-13,NEFT CR RAZORPAY SOFTWARE-897771
BTXN7150970643,RZP7699500243,71905.47,2026-07-06,NEFT CR-RZP7699500243-RAZORPAY
BTXN6172957943,RZP8160279830,3883.59,2026-07-07,UPI-RAZORPAY SOFTWARE PVT LTD-RZP8160279830
BTXN1133747952,RZP5071218314,6090.57,2026-07-11,RTGS-RZP5071218314-RAZORPAY SOFTWARE PVT LTD
BTXN2409274786,RZP5060136033,57667.54,2026-07-13,IMPS/RZP5060136033/RAZORPAY SETTLEMENT
BTXN7313226025,RZP3370788647,12161.68,2026-07-07,RTGS-RZP3370788647-RAZORPAY SOFTWARE PVT LTD
BTXN3206955437,RZP7135394336,11176.31,2026-07-03,NETFLIX SUBSCRIPTION
BTXN5130589741,RZP3149484176,26200.07,2026-07-03,UPI-RAZORPAY SOFTWARE PVT LTD-RZP3149484176
BTXN2331039957,RZP2727768349,48214.73,2026-07-03,IMPS/RZP2727768349/RAZORPAY SETTLEMENT
BTXN8607135564,RZP5111732824,21285.98,2026-07-05,NEFT CR-RZP5111732824-RAZORPAY
BTXN9917981516,RZP9033841191,56062.46,2026-07-04,IMPS/RZP9033841191/RAZORPAY SETTLEMENT
BTXN8543865915,RZP7279140605,4538.20,2026-07-09,IMPS/RZP7279140605/RAZORPAY SETTLEMENT
BTXN5673482258,RZP9444763362,13304.55,2026-07-10,RTGS-RZP9444763362-RAZORPAY SOFTWARE PVT LTD
BTXN4277422858,RZP3598862507,51090.12,2026-07-06,IMPS/RZP3598862507/RAZORPAY SETTLEMENT
BTXN4287687478,RZP8995045,49380.91,2026-07-20,NEFT CR RAZORPAY SOFTWARE-045543
BTXN8495457335,RZP6994940029,1103.30,2026-07-14,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6994940029
BTXN7590302909,RZP9063016667,34374.83,2026-07-10,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9063016667
BTXN5108932916,RZP7703957637,74860.15,2026-07-08,RTGS-RZP7703957637-RAZORPAY SOFTWARE PVT LTD
BTXN4682870880,RZP1052776893,3921.71,2026-07-15,NEFT CR-RZP1052776893-RAZORPAY
BTXN2351531223,RZP4529615275,60475.91,2026-07-07,IMPS/RZP4529615275/RAZORPAY SETTLEMENT
BTXN3465740756,RZP5759761714,63480.32,2026-07-06,UPI-RAZORPAY SOFTWARE PVT LTD-RZP5759761714
BTXN3521300895,RZP3826557688,13861.91,2026-07-16,UPI-RAZORPAY SOFTWARE PVT LTD-RZP3826557688
BTXN1415334610,RZP6425814,20123.36,2026-07-18,IMPS/RZP/814872/PAYOUT
BTXN5973501339,RZP1207916194,7918.32,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP1207916194
BTXN2196963451,RZP3464975279,39944.76,2026-07-07,IMPS/RZP3464975279/RAZORPAY SETTLEMENT
BTXN6480214504,RZP6449965466,20496.31,2026-07-04,NEFT CR-RZP6449965466-RAZORPAY
BTXN9454207717,RZP5819946657,26843.06,2026-07-11,RTGS-RZP5819946657-RAZORPAY SOFTWARE PVT LTD
BTXN8998080862,RZP2966500767,10593.97,2026-07-03,IMPS/RZP2966500767/RAZORPAY SETTLEMENT
BTXN1647812758,RZP6302109556,25520.64,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6302109556
