settlement_id,bank_txn_id,category,expected_match
STL39958838,BTXN3342331444,exact,true
STL41227216,BTXN9703905715,exact,true
STL10872248,BTXN7110082321,exact,true
STL23718431,BTXN5693307665,exact,true
STL15831819,BTXN8429141456,exact,true
STL84093639,BTXN1298737106,exact,true
STL23556182,BTXN6927597015,exact,true
STL99949389,BTXN3783290795,exact,true
STL95899313,BTXN1240251661,exact,true
STL18883684,BTXN2351531223,exact,true
STL29175900,BTXN2137651678,exact,true
STL39436733,BTXN3119634399,exact,true
STL66661351,BTXN3561557300,exact,true
STL84252722,BTXN9639245200,exact,true
STL96028436,BTXN2461042543,exact,true
STL77187530,BTXN4272602734,exact,true
STL30513739,BTXN4944899549,exact,true
STL51273847,BTXN2028439863,exact,true
STL81498611,BTXN4289233844,exact,true
STL38427073,BTXN3962958940,exact,true
STL68800797,BTXN2939118223,exact,true
STL88979095,BTXN1945826486,exact,true
STL14216175,BTXN8987073217,exact,true
STL38754377,BTXN3315992115,exact,true
STL35556386,BTXN1405126228,exact,true
STL17270733,BTXN1422701550,exact,true
STL28814949,BTXN2811967841,exact,true
STL69476001,BTXN1420514789,exact,true
STL63826716,BTXN4875962612,exact,true
STL71070189,BTXN6520103410,exact,true
STL87736262,BTXN9851745355,exact,true
STL17634247,BTXN1798112150,exact,true
STL26090908,BTXN3446737272,exact,true
STL44999379,BTXN8370987661,exact,true
STL71367643,BTXN1311570307,exact,true
STL27778019,BTXN9303285822,exact,true
STL31172421,BTXN3271782991,exact,true
STL45496015,BTXN3376077463,exact,true
STL37326368,BTXN8958199946,exact,true
STL22388090,BTXN8019198243,exact,true
STL95511909,BTXN9503167458,exact,true
STL30005727,BTXN3343292475,exact,true
STL27105448,BTXN5474620894,exact,true
STL57469942,BTXN4993808565,exact,true
STL65337219,BTXN1106456634,exact,true
STL45810056,BTXN4011966884,exact,true
STL56930359,BTXN1977515194,exact,true
STL19317495,BTXN6493800024,exact,true
STL33966966,BTXN9519284858,exact,true
STL68571795,BTXN3196545325,exact,true
STL10226999,BTXN6141226746,exact,true
STL93638503,BTXN4642197907,exact,true
STL35748341,BTXN9333798503,exact,true
STL83542887,BTXN4580822352,exact,true
STL72409658,BTXN7192423780,exact,true
STL98429450,BTXN5659161352,exact,true
STL51663795,BTXN1855256552,exact,true
STL71124923,BTXN8285786023,exact,true
STL24305904,BTXN8638257497,exact,true
STL16740197,BTXN3394039673,exact,true
STL69401199,BTXN7462972995,exact,true
STL70407340,BTXN8033702319,exact,true
STL20399639,BTXN8359619163,exact,true
STL28572252,BTXN1647812758,exact,true
STL65804273,BTXN1267429212,exact,true
STL87267850,BTXN6928691380,exact,true
STL82238741,BTXN6242173772,exact,true
STL55114543,BTXN8722962486,exact,true
STL93517915,BTXN3294043548,exact,true
STL21267237,BTXN8055556030,exact,true
STL38408562,BTXN7247886041,exact,true
STL43859311,BTXN4585915088,exact,true
STL40094589,BTXN3792347639,exact,true
STL12735359,BTXN3668616333,exact,true
STL72415804,BTXN8299146480,exact,true
STL31980274,BTXN9438411468,exact,true
STL20200074,BTXN2043030161,exact,true
STL56600900,BTXN7583090712,exact,true
STL11698142,BTXN8943866829,exact,true
STL30534124,BTXN2870403050,exact,true
STL53258988,BTXN4658080160,exact,true
STL86483924,BTXN6922713963,exact,true
STL38470244,BTXN6404582459,exact,true
STL21490777,BTXN7040562787,exact,true
STL49491631,BTXN6246716604,exact,true
STL73519947,BTXN6771394050,exact,true
STL51154241,BTXN2079770569,exact,true
STL35708194,BTXN7374584386,exact,true
STL11898961,BTXN5838636972,exact,true
STL23769080,BTXN4748302739,exact,true
STL34744872,BTXN5146780827,exact,true
STL76001106,BTXN9908115095,exact,true
STL21432787,BTXN5268845844,exact,true
STL80138498,BTXN6928678489,exact,true
STL50987442,BTXN9848621776,exact,true
STL31079846,BTXN2030213097,exact,true
STL89699989,BTXN7313226025,exact,true
STL19553585,BTXN3952295757,exact,true
STL67061186,BTXN1610900200,exact,true
STL68942178,BTXN5829062179,exact,true
STL68755000,BTXN9935429720,exact,true
STL46173157,BTXN3474961963,exact,true
STL34359060,BTXN8792122716,exact,true
STL53091709,BTXN3878201524,exact,true
STL48683937,BTXN5452580287,exact,true
STL79067939,BTXN9594878379,exact,true
STL93568503,BTXN8543865915,exact,true
STL83715012,BTXN6532043071,exact,true
STL31257157,BTXN9648665968,exact,true
STL71934487,BTXN5067594934,exact,true
STL65766169,BTXN8880079328,exact,true
STL61484043,BTXN5594799319,exact,true
STL10344303,BTXN5933179746,exact,true
STL71115319,BTXN9301537234,exact,true
STL41348220,BTXN2764265618,exact,true
