settlement_id,reference_id,amount,date,status
STL12357828,RZP4672507823,16048.69,2026-07-06,settled
STL26476859,RZP5188484316,25728.06,2026-07-10,settled
STL48893421,RZP3214808053,45397.29,2026-07-05,settled
STL47273093,RZP8450893945,35874.33,2026-07-04,settled
STL88961202,RZP8030314152,25709.15,2026-07-04,settled
STL20971285,RZP7190064639,5344.18,2026-07-09,settled
STL82981537,RZP4597319832,57445.34,2026-07-14,settled
STL31982259,RZP6413724003,54447.47,2026-07-08,settled
STL74844927,RZP1965413084,6408.93,2026-07-14,settled
STL70655218,RZP7715211735,65182.04,2026-07-06,settled
STL98698002,RZP4254163570,18396.08,2026-07-03,settled
STL16951835,RZP7215764225,42518.66,2026-07-04,settled
STL86051758,RZP7522573531,5831.70,2026-07-08,settled
STL43028822,RZP5734895779,15000.56,2026-07-04,settled
STL25588682,RZP2986911775,22336.75,2026-07-12,settled
STL15669132,RZP5471878663,48128.64,2026-07-11,settled
STL70281541,RZP9178699276,8443.13,2026-07-13,settled
STL25615759,RZP5948264765,46463.42,2026-07-10,settled
STL74905006,RZP5513221257,62184.63,2026-07-11,settled
STL99597719,RZP5809656883,68491.72,2026-07-12,settled
STL33003378,RZP2284490613,7296.49,2026-07-09,settled
STL95645827,RZP7374374852,34407.96,2026-07-04,settled
STL53804669,RZP7320401780,65559.79,2026-07-02,settled
STL48080929,RZP3082627266,25513.27,2026-07-08,settled
STL86156099,RZP2480893118,21775.52,2026-07-07,settled
STL25265443,RZP2876623451,71947.22,2026-07-04,settled
STL26447177,RZP9202663245,51924.23,2026-07-12,settled
STL71485693,RZP3049084254,7872.04,2026-07-14,settled
STL48603057,RZP2339951457,24981.19,2026-07-11,reversed
STL89769388,RZP5116568839,8161.02,2026-07-14,settled
STL42559716,RZP3158221018,37112.30,2026-07-12,settled
STL61359312,RZP8257878359,5094.01,2026-07-05,settled
STL89400640,RZP5666371719,64344.55,2026-07-08,settled
STL61720072,RZP9825137314,13931.66,2026-07-04,settled
STL74964479,RZP3986169147,1305.70,2026-07-09,settled
STL31011484,RZP4910952028,11872.22,2026-07-08,settled
STL84203309,RZP5969281835,35374.57,2026-07-02,settled
STL45233121,RZP5450006937,57670.82,2026-07-04,pending
STL83078295,RZP8119311697,69095.52,2026-07-12,settled
STL20993214,RZP8572857180,28766.96,2026-07-02,settled
STL74995681,RZP5230433959,70711.39,2026-07-07,settled
STL94637928,RZP1741381563,31810.30,2026-07-15,settled
STL53638819,RZP8330818766,41166.68,2026-07-10,settled
STL87440469,RZP2351729852,74100.25,2026-07-04,pending
STL83055864,RZP9460030938,28092.59,2026-07-14,settled
STL29242637,RZP1623569382,61437.15,2026-07-02,settled
STL34298189,RZP9935763044,44092.19,2026-07-05,settled
STL58611002,RZP2763298677,61725.24,2026-07-07,settled
STL33656214,RZP8201494366,43831.63,2026-07-14,settled
STL73028277,RZP8486856163,73253.89,2026-07-04,settled
STL58761984,RZP3767693647,48295.01,2026-07-14,settled
STL10240213,RZP4382255816,3877.81,2026-07-07,settled
STL57345647,RZP6668831208,37872.22,2026-07-15,settled
