settlement_id,bank_txn_id,category,expected_match
STL39958838,BTXN3342331444,exact,true
STL41227216,BTXN9703905715,exact,true
STL10872248,BTXN7110082321,exact,true
STL23718431,BTXN5693307665,exact,true
STL15831819,BTXN8429141456,exact,true
STL84093639,BTXN1298737106,exact,true
STL23556182,BTXN6927597015,exact,true
STL99949389,BTXN3783290795,exact,true
STL95899313,BTXN1240251661,exact,true
STL18883684,BTXN2351531223,exact,true
STL29175900,BTXN2137651678,exact,true
STL39436733,BTXN3119634399,exact,true
STL66661351,BTXN3561557300,exact,true
STL84252722,BTXN9639245200,exact,true
STL96028436,BTXN2461042543,exact,true
STL77187530,BTXN4272602734,exact,true
STL30513739,BTXN4944899549,exact,true
STL51273847,BTXN2028439863,exact,true
STL81498611,BTXN4289233844,exact,true
STL38427073,BTXN3962958940,exact,true
STL68800797,BTXN2939118223,exact,true
STL88979095,BTXN1945826486,exact,true
STL14216175,BTXN8987073217,exact,true
STL38754377,BTXN3315992115,exact,true
STL35556386,BTXN1405126228,exact,true
STL17270733,BTXN1422701550,exact,true
STL28814949,BTXN2811967841,exact,true
STL69476001,BTXN1420514789,exact,true
STL63826716,BTXN4875962612,exact,true
STL71070189,BTXN6520103410,exact,true
STL87736262,BTXN9851745355,exact,true
STL17634247,BTXN1798112150,exact,true
STL26090908,BTXN3446737272,exact,true
STL37415205,BTXN2349409434,fuzzy_date,true
STL52436584,BTXN5018948187,fuzzy_date,true
STL82160068,BTXN2139027119,fuzzy_date,true
STL48250360,BTXN5972484792,fuzzy_date,true
STL99038526,BTXN4771526597,fuzzy_date,true
STL47816686,BTXN3597724331,fuzzy_date,true
STL43704923,BTXN4633987776,fuzzy_date,true
STL54769200,BTXN4311931853,fuzzy_date,true
STL25015458,BTXN4882343658,fuzzy_date,true
STL27105448,BTXN5474620894,fuzzy_amount,true
STL93303777,BTXN4218981849,fuzzy_amount,true
STL99913412,BTXN4482141802,fuzzy_amount,true
STL73174945,BTXN1955345537,fuzzy_amount,true
STL13176186,BTXN3834820954,fuzzy_amount,true
STL57130035,BTXN7597996327,fuzzy_amount,true
STL45630292,BTXN1164313410,llm_reasoned,true
STL78642041,BTXN5791662169,llm_reasoned,true
STL36445607,BTXN6859286614,llm_reasoned,true
STL64009265,BTXN8289454630,llm_reasoned,true
STL33357554,BTXN6587537178,llm_reasoned,true
STL97873101,BTXN6679017210,llm_reasoned,true
STL69295515,,settlement_only_exception,false
STL22534217,,settlement_only_exception,false
STL29777514,,settlement_only_exception,false
STL71124923,,settlement_only_exception,false
STL98054615,,settlement_only_exception,false
STL67062156,,settlement_only_exception,false
,BTXN9805620900,bank_only_exception,false
,BTXN8995059760,bank_only_exception,false
,BTXN7533932947,bank_only_exception,false
,BTXN6461974809,bank_only_exception,false
,BTXN3980491761,bank_only_exception,false
,BTXN2785736751,bank_only_exception,false
