txn_id,reference_id,amount,date,narration
BTXN8243305412,RZP9266712372,24046.75,2026-07-06,RTGS-RZP9266712372-RAZORPAY SOFTWARE PVT LTD
BTXN2860007896,RZP7699273039,50396.67,2026-07-05,RTGS-RZP7699273039-RAZORPAY SOFTWARE PVT LTD
BTXN4293438406,rzp1621677591,66595.84,2026-07-14,IMPS/RZP/677591/PAYOUT
BTXN9711985204,RZP6823853030,29115.89,2026-07-06,NEFT CR-RZP6823853030-RAZORPAY
BTXN4772774153,RZP9262366142,29484.02,2026-07-16,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9262366142
BTXN4896678781,RZP6153263126,52102.27,2026-07-08,RTGS-RZP6153263126-RAZORPAY SOFTWARE PVT LTD
BTXN4393727296,RZP6337813280,4840.35,2026-07-09,NEFT CR-RZP6337813280-RAZORPAY
BTXN2894488586,RZP5806583321,37937.42,2026-07-09,UPI-RAZORPAY SOFTWARE PVT LTD-RZP5806583321
BTXN4878185755,RZP6714660362,54670.93,2026-07-14,IMPS/RZP6714660362/RAZORPAY SETTLEMENT
BTXN1815084990,RZP1363777426,25353.94,2026-07-09,UPI-RAZORPAY SETTLEMENT ORDER 377426
BTXN5801112373,RZP2132251899,10947.83,2026-07-05,ZOMATO ONLINE ORDER
BTXN7638440038,RZP7967767083,35518.00,2026-07-08,NEFT CR-RZP7967767083-RAZORPAY
BTXN2534379800,RZP2064454438,46770.06,2026-07-13,IMPS/RZP2064454438/RAZORPAY SETTLEMENT
BTXN4610573898,RZP6434090506,47651.95,2026-07-06,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6434090506
BTXN1526928976,RZP2470956925,42284.28,2026-07-13,NEFT CR-RZP2470956925-RAZORPAY
BTXN3705045627,RZP9155765,40816.82,2026-07-09,NEFT CR RAZORPAY SOFTWARE-765753
BTXN9699809680,RZP1315393763,62618.09,2026-07-11,IMPS/RZP1315393763/RAZORPAY SETTLEMENT
BTXN8780064888,RZP6479355858,64656.37,2026-07-08,RTGS-RZP6479355858-RAZORPAY SOFTWARE PVT LTD
BTXN9698924284,RZP4724704225,32195.53,2026-07-13,RTGS-RZP4724704225-RAZORPAY SOFTWARE PVT LTD
BTXN8080460787,RZP5145795381,72561.45,2026-07-14,RTGS-RZP5145795381-RAZORPAY SOFTWARE PVT LTD
BTXN1591510462,RZP6104694451,53465.44,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP6104694451
