settlement_id,bank_txn_id,category,expected_match
STL39968745,BTXN2894488586,exact,true
STL70351650,BTXN2349621006,exact,true
STL60512102,BTXN9917726066,exact,true
STL71397604,BTXN2327139357,exact,true
STL88613714,BTXN7676307749,exact,true
STL63438575,BTXN9698924284,exact,true
STL26376341,BTXN7638440038,exact,true
STL63948553,BTXN2860007896,exact,true
STL80180947,BTXN9276220344,exact,true
STL68281295,BTXN4896678781,exact,true
STL68847902,BTXN7507619930,exact,true
STL18629549,BTXN8080460787,exact,true
STL29643929,BTXN1060269341,exact,true
STL91890761,BTXN4409218794,exact,true
STL99721481,BTXN2534379800,exact,true
STL28101218,BTXN3344208658,exact,true
STL88655506,BTXN7064661963,exact,true
STL11896747,BTXN5118119886,exact,true
STL13461507,BTXN9699809680,exact,true
STL26290387,BTXN1733295235,exact,true
STL19329269,BTXN7645834631,exact,true
STL97004064,BTXN4603392971,exact,true
STL27332847,BTXN1591510462,exact,true
STL20557407,BTXN6940735819,exact,true
STL65799328,BTXN6530501666,exact,true
STL80766545,BTXN8716819276,exact,true
STL22498300,BTXN9068614754,exact,true
STL13648678,BTXN5968242608,exact,true
STL84598180,BTXN4139494357,exact,true
STL23617158,BTXN8651657271,exact,true
STL34896742,BTXN6641658204,exact,true
STL44376392,BTXN1270063605,exact,true
STL22945288,BTXN2010285313,exact,true
STL71209284,BTXN3642026955,fuzzy_date,true
STL26030999,BTXN8243305412,fuzzy_date,true
STL68618432,BTXN4772774153,fuzzy_date,true
STL65920005,BTXN4878185755,fuzzy_date,true
STL93076786,BTXN1526928976,fuzzy_date,true
STL67011675,BTXN3483037223,fuzzy_date,true
STL26805141,BTXN9711985204,fuzzy_date,true
STL13135594,BTXN5366245723,fuzzy_date,true
STL34065539,BTXN3375040102,fuzzy_date,true
STL98297510,BTXN4610573898,fuzzy_amount,true
STL63562849,BTXN4393727296,fuzzy_amount,true
STL83658086,BTXN8780064888,fuzzy_amount,true
STL57571095,BTXN8311531548,fuzzy_amount,true
STL28516756,BTXN4880530279,fuzzy_amount,true
STL62784615,BTXN3185113890,fuzzy_amount,true
STL89553785,BTXN1815084990,llm_reasoned,true
STL35326502,BTXN3705045627,llm_reasoned,true
STL79281900,BTXN1126756425,llm_reasoned,true
STL96356336,BTXN4293438406,llm_reasoned,true
STL90463047,BTXN3620009920,llm_reasoned,true
STL61163606,BTXN5799836290,llm_reasoned,true
STL73670338,,settlement_only_exception,false
STL58140861,,settlement_only_exception,false
STL76412650,,settlement_only_exception,false
STL32594416,,settlement_only_exception,false
STL98187901,,settlement_only_exception,false
STL72143747,,settlement_only_exception,false
,BTXN1914293498,bank_only_exception,false
,BTXN5801112373,bank_only_exception,false
,BTXN6301247644,bank_only_exception,false
,BTXN7018300812,bank_only_exception,false
,BTXN9997982653,bank_only_exception,false
,BTXN2419252491,bank_only_exception,false
