settlement_id,reference_id,amount,date,status
STL18629549,RZP5145795381,72561.45,2026-07-14,settled
STL65920005,RZP6714660362,54670.93,2026-07-13,settled
STL58140861,RZP7808876829,6649.94,2026-07-13,reversed
STL65799328,RZP6098979957,13514.77,2026-07-08,settled
STL84598180,RZP3312319096,8672.17,2026-07-12,settled
STL27332847,RZP6104694451,53465.44,2026-07-15,settled
STL13648678,RZP8068138371,30896.18,2026-07-13,settled
STL28101218,RZP5317005189,50011.31,2026-07-10,settled
STL26030999,RZP9266712372,24046.75,2026-07-04,settled
STL72143747,RZP8675896781,31022.64,2026-07-13,pending
STL83658086,RZP6479355858,64660.37,2026-07-08,settled
STL73670338,RZP9201237895,9509.93,2026-07-09,reversed
STL80766545,RZP6055014497,39190.47,2026-07-08,settled
STL68618432,RZP9262366142,29484.02,2026-07-14,settled
STL44376392,RZP5569480274,69920.43,2026-07-03,settled
STL90463047,RZP8910956260,27915.74,2026-07-04,settled
STL32594416,RZP6690840356,38217.27,2026-07-06,pending
STL88655506,RZP2248461747,31624.53,2026-07-03,settled
STL67011675,RZP1160282720,39432.50,2026-07-10,settled
STL13461507,RZP1315393763,62618.09,2026-07-11,settled
STL28516756,RZP4416072521,48114.17,2026-07-06,settled
STL68281295,RZP6153263126,52102.27,2026-07-08,settled
STL71209284,RZP2331090575,7493.33,2026-07-09,settled
STL89553785,RZP1367377426,25353.94,2026-07-05,settled
STL26290387,RZP7339476609,51368.19,2026-07-08,settled
STL26376341,RZP7967767083,35518.00,2026-07-08,settled
STL57571095,RZP2340861552,12292.92,2026-07-08,settled
STL63562849,RZP6337813280,4843.12,2026-07-09,settled
STL68847902,RZP8865815672,24090.95,2026-07-15,settled
STL88613714,RZP6879142802,34849.90,2026-07-02,settled
STL71397604,RZP2461983573,42030.07,2026-07-05,settled
STL62784615,RZP3291002345,63810.96,2026-07-05,settled
STL29643929,RZP9174455274,28074.59,2026-07-04,settled
STL63438575,RZP4724704225,32195.53,2026-07-13,settled
STL20557407,RZP6093853641,20824.11,2026-07-09,settled
STL76412650,RZP8636285361,20265.15,2026-07-11,reversed
STL22945288,RZP8631208977,31382.36,2026-07-01,settled
STL23617158,RZP7742390073,42430.94,2026-07-11,settled
STL91890761,RZP5295886288,43757.68,2026-07-15,settled
STL70351650,RZP9600821651,6513.91,2026-07-05,settled
STL19329269,RZP6183963894,46939.06,2026-07-08,settled
STL11896747,RZP4470312068,39242.30,2026-07-04,settled
STL98297510,RZP6434090506,47658.99,2026-07-06,settled
STL63948553,RZP7699273039,50396.67,2026-07-05,settled
STL13135594,RZP7678236685,66741.38,2026-07-13,settled
STL99721481,RZP2064454438,46770.06,2026-07-13,settled
STL60512102,RZP7001003053,26400.51,2026-07-15,settled
STL39968745,RZP5806583321,37937.42,2026-07-09,settled
STL98187901,RZP8976833782,30528.67,2026-07-03,reversed
STL79281900,RZP8077170640,26996.53,2026-07-13,settled
STL34896742,RZP2872832839,8399.66,2026-07-01,settled
STL96356336,RZP1621677591,66595.84,2026-07-09,settled
STL35326502,RZP9155765753,40816.82,2026-07-06,settled
STL61163606,RZP1543418435,36600.08,2026-07-14,settled
STL22498300,RZP4505347638,63666.31,2026-07-04,settled
STL26805141,RZP6823853030,29115.89,2026-07-04,settled
STL34065539,RZP7619188763,31632.04,2026-07-06,settled
STL93076786,RZP2470956925,42284.28,2026-07-12,settled
STL97004064,RZP1146684679,48718.67,2026-07-03,settled
STL80180947,RZP2155500563,2966.64,2026-07-11,settled
