settlement_id,reference_id,amount,date,status
STL37415205,RZP9760623742,6607.76,2026-07-11,settled
STL67062156,RZP1939915527,60406.18,2026-07-12,pending
STL23718431,RZP2193448329,16540.88,2026-07-13,settled
STL39436733,RZP7805745017,67387.80,2026-07-07,settled
STL18883684,RZP4529615275,60475.91,2026-07-07,settled
STL73174945,RZP2145921803,59159.40,2026-07-14,settled
STL10872248,RZP7635473142,16922.83,2026-07-10,settled
STL77187530,RZP6555540744,12282.75,2026-07-01,settled
STL39958838,RZP3746317213,2363.30,2026-07-05,settled
STL99949389,RZP8877444318,12617.73,2026-07-06,settled
STL25015458,RZP2125089309,55721.70,2026-07-09,settled
STL63826716,RZP2015242176,30777.85,2026-07-08,settled
STL87736262,RZP3090237817,14647.39,2026-07-04,settled
STL99038526,RZP8316648259,46069.99,2026-07-13,settled
STL30513739,RZP7980611182,63204.37,2026-07-09,settled
STL38754377,RZP9894264595,18231.35,2026-07-11,settled
STL14216175,RZP9894847574,47517.17,2026-07-04,settled
STL81498611,RZP1338258951,55027.12,2026-07-14,settled
STL54769200,RZP9986353481,32056.40,2026-07-05,settled
STL29777514,RZP1104906255,18740.77,2026-07-08,reversed
STL23556182,RZP3840104345,58093.59,2026-07-02,settled
STL78642041,RZP7857221324,54776.61,2026-07-06,settled
STL66661351,RZP4246059658,64652.17,2026-07-03,settled
STL48250360,RZP9303285822,66124.38,2026-07-15,settled
STL26090908,RZP3555656321,50803.34,2026-07-04,settled
STL93303777,RZP2536778950,51313.97,2026-07-06,settled
STL13176186,RZP7271954644,23236.72,2026-07-04,settled
STL99913412,RZP2770791023,13862.37,2026-07-13,settled
STL15831819,RZP5710360983,63638.33,2026-07-10,settled
STL84252722,RZP6947530309,44893.69,2026-07-08,settled
STL68800797,RZP8357059814,30224.93,2026-07-11,settled
STL84093639,RZP3303082117,72997.12,2026-07-07,settled
STL82160068,RZP5334976883,46776.36,2026-07-10,settled
STL43704923,RZP8377088167,15668.00,2026-07-11,settled
STL27105448,RZP3343292475,62677.33,2026-07-03,settled
STL36445607,RZP6111349421,53304.50,2026-07-01,settled
STL95899313,RZP4131575764,12673.49,2026-07-07,settled
STL71070189,RZP6002078344,660.58,2026-07-07,settled
STL29175900,RZP8110054933,29974.58,2026-07-15,settled
STL17270733,RZP8125276666,26895.17,2026-07-07,settled
STL88979095,RZP2064746525,5269.93,2026-07-01,settled
STL71124923,RZP8285786023,37331.10,2026-07-04,reversed
STL41227216,RZP7831113321,2867.81,2026-07-02,settled
STL64009265,RZP4642197907,38280.63,2026-07-11,settled
STL69476001,RZP6491309593,19110.58,2026-07-15,settled
STL51273847,RZP7867414708,36901.13,2026-07-02,settled
STL98054615,RZP3953315788,67003.16,2026-07-14,reversed
STL17634247,RZP2346922426,4235.60,2026-07-08,settled
STL96028436,RZP4095476665,51287.42,2026-07-09,settled
STL47816686,RZP2135872495,66783.60,2026-07-12,settled
STL22534217,RZP4226113732,50623.28,2026-07-04,reversed
STL33357554,RZP3381183483,31823.25,2026-07-07,settled
STL57130035,RZP7006365648,21255.93,2026-07-13,settled
STL52436584,RZP6435772945,10250.43,2026-07-11,settled
STL28814949,RZP4700855390,19024.90,2026-07-04,settled
STL97873101,RZP5296710795,16158.61,2026-07-13,settled
STL69295515,RZP5659161352,38901.17,2026-07-11,pending
STL35556386,RZP7769777475,18603.29,2026-07-08,settled
STL45630292,RZP5033992825,65839.36,2026-07-05,settled
STL38427073,RZP3361388464,20246.72,2026-07-14,settled
