txn_id,reference_id,amount,date,narration
BTXN5111964029,RZP4757132816,35721.31,2026-07-06,RTGS-RZP4757132816-RAZORPAY SOFTWARE PVT LTD
BTXN3754941817,RZP5011676891,12231.43,2026-07-01,NEFT CR-RZP5011676891-RAZORPAY
BTXN3726038017,RZP9306377494,20280.07,2026-07-05,RTGS-RZP9306377494-RAZORPAY SOFTWARE PVT LTD
BTXN3278938525,RZP8618461911,46520.93,2026-07-04,RTGS-RZP8618461911-RAZORPAY SOFTWARE PVT LTD
BTXN7225368926,RZP1713309351,9520.86,2026-07-15,NETFLIX SUBSCRIPTION
BTXN7025696122,RZP2004517658,25634.16,2026-07-09,RTGS-RZP2004517658-RAZORPAY SOFTWARE PVT LTD
BTXN6557367708,RZP1666206970,32973.45,2026-07-04,IMPS/RZP1666206970/RAZORPAY SETTLEMENT
BTXN5451725431,RZP2549597797,16433.52,2026-07-05,NEFT CR RAZORPAY SOFTWARE-597779
BTXN8438707149,RZP5920611987,34392.06,2026-07-13,NEFT CR-RZP5920611987-RAZORPAY
BTXN9899032496,RZP5578762,29274.64,2026-07-18,IMPS/RZP/762168/PAYOUT
BTXN2662256281,RZP9409076595,26591.03,2026-07-06,RTGS-RZP9409076595-RAZORPAY SOFTWARE PVT LTD
BTXN1756078289,RZP9370949716,19856.37,2026-07-01,IMPS/RZP9370949716/RAZORPAY SETTLEMENT
BTXN8878472589,RZP4131356673,48607.03,2026-07-08,IMPS/RZP4131356673/RAZORPAY SETTLEMENT
BTXN8356696645,RZP2398050759,12167.77,2026-07-10,NEFT CR-RZP2398050759-RAZORPAY
BTXN8064509352,RZP8942817276,56108.31,2026-07-12,IMPS/RZP8942817276/RAZORPAY SETTLEMENT
BTXN8994398998,RZP8735703091,67675.15,2026-07-05,NEFT CR-RZP8735703091-RAZORPAY
BTXN9795609919,RZP4436061708,40201.16,2026-07-02,RTGS-RZP4436061708-RAZORPAY SOFTWARE PVT LTD
BTXN8316327286,RZP3378827297,12341.16,2026-07-12,UPI-RAZORPAY SOFTWARE PVT LTD-RZP3378827297
BTXN5307146791,RZP1407768867,17459.94,2026-07-01,RTGS-RZP1407768867-RAZORPAY SOFTWARE PVT LTD
BTXN8874796658,RZP8508389787,7379.09,2026-07-14,RTGS-RZP8508389787-RAZORPAY SOFTWARE PVT LTD
BTXN7616521153,RZP5823290991,5476.63,2026-07-12,RTGS-RZP5823290991-RAZORPAY SOFTWARE PVT LTD
BTXN3175871643,RZP9283952523,17551.73,2026-07-15,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9283952523
BTXN8905705323,RZP5613925479,3593.21,2026-07-11,IMPS/RZP5613925479/RAZORPAY SETTLEMENT
BTXN4763197947,RZP5602663370,7914.92,2026-07-08,RTGS-RZP5602663370-RAZORPAY SOFTWARE PVT LTD
BTXN7624392175,RZP4886990748,15741.34,2026-07-09,NEFT CR-RZP4886990748-RAZORPAY
BTXN9010852999,RZP7379733623,19267.58,2026-07-03,SALARY CREDIT XYZ CORP
