settlement_id,reference_id,amount,date,status
STL70887307,RZP9984030846,40020.96,2026-07-07,settled
STL85031958,RZP2261792922,35573.18,2026-07-12,settled
STL85482164,RZP4039019230,60530.32,2026-07-15,settled
STL90448089,RZP9691727358,7349.63,2026-07-11,settled
STL83969111,RZP4571581236,51879.14,2026-07-09,settled
STL54269149,RZP3750219066,70000.58,2026-07-05,settled
STL90042177,RZP1793480168,57302.34,2026-07-10,settled
STL32881048,RZP3369899340,49657.96,2026-07-10,reversed
STL52627226,RZP9881193677,40205.64,2026-07-12,settled
STL37265709,RZP7553423031,62130.68,2026-07-08,settled
STL65907088,RZP4503614567,27942.66,2026-07-11,settled
STL30144023,RZP1052776893,3925.62,2026-07-06,settled
STL26288992,RZP3738900744,59630.38,2026-07-09,settled
STL25750520,RZP7949274479,11619.21,2026-07-06,settled
STL32420574,RZP3705512079,65379.78,2026-07-15,pending
STL87594146,RZP2475647712,66537.47,2026-07-13,settled
STL86391152,RZP5165132643,71341.75,2026-07-06,settled
STL69562350,RZP5776996939,58978.33,2026-07-13,settled
STL56533319,RZP6554120470,72733.31,2026-07-03,settled
STL46197787,RZP6958538302,10662.14,2026-07-11,settled
STL29693143,RZP3835386061,7244.71,2026-07-15,settled
STL74199033,RZP2708879427,56387.62,2026-07-03,settled
STL12518567,RZP1149726408,5745.72,2026-07-13,settled
STL83245898,RZP3035761595,40243.35,2026-07-03,settled
STL23556182,RZP3840104345,58093.59,2026-07-02,settled
STL45328305,RZP5844171168,56212.84,2026-07-15,settled
STL61192463,RZP8240793721,45689.16,2026-07-05,settled
STL29909634,RZP2116723521,36576.11,2026-07-13,settled
STL70407340,RZP7648059419,67342.00,2026-07-12,settled
STL39448924,RZP6330710675,40259.87,2026-07-13,settled
STL26782477,RZP3297681898,14352.35,2026-07-02,settled
STL90771151,RZP2086680310,22972.61,2026-07-01,settled
STL93568503,RZP7279140605,4538.20,2026-07-09,settled
STL54868265,RZP1185180108,48542.13,2026-07-07,settled
STL34744872,RZP7760554363,35470.07,2026-07-08,settled
STL71572793,RZP8224988156,70808.65,2026-07-08,reversed
STL35748341,RZP7049001493,30478.83,2026-07-05,settled
STL15015930,RZP6037577831,62015.04,2026-07-12,settled
STL17634247,RZP2346922426,4235.60,2026-07-08,settled
STL82144402,RZP7896596272,31480.50,2026-07-09,settled
STL90233330,RZP1885113834,8016.81,2026-07-01,settled
STL19959009,RZP5438474114,1995.81,2026-07-05,settled
STL31172421,RZP4783282817,66005.63,2026-07-06,settled
STL50111251,RZP9316609031,43167.21,2026-07-04,settled
STL84757265,RZP1439080604,7003.64,2026-07-07,settled
STL95899313,RZP4131575764,12673.49,2026-07-07,settled
STL31831387,RZP7640122370,8056.43,2026-07-08,settled
STL44951103,RZP3010409194,24140.15,2026-07-09,settled
STL19447334,RZP8825544304,59671.59,2026-07-01,settled
STL74648438,RZP8822438146,71070.41,2026-07-04,settled
