settlement_id,reference_id,amount,date,status
STL37568520,RZP6001648993,64159.21,2026-07-08,settled
STL76481885,RZP6932342612,74136.84,2026-07-13,settled
STL83905989,RZP1654602021,25074.96,2026-07-07,settled
STL19553585,RZP1140187131,21963.81,2026-07-05,settled
STL92688322,RZP7185179917,54321.19,2026-07-03,settled
STL11031743,RZP8160279830,3883.59,2026-07-07,settled
STL99949389,RZP8877444318,12617.73,2026-07-06,settled
STL97182566,RZP3464975279,39944.76,2026-07-07,settled
STL23594977,RZP9180965181,48503.09,2026-07-08,pending
STL16904975,RZP5819946657,26843.06,2026-07-11,settled
STL62188655,RZP9715314442,46250.97,2026-07-04,settled
STL28533117,RZP9248574674,65524.92,2026-07-12,settled
STL36867482,RZP2916728422,74729.20,2026-07-05,settled
STL26288992,RZP3738900744,59630.38,2026-07-09,settled
STL51273847,RZP7867414708,36901.13,2026-07-02,settled
STL21783073,RZP4662861038,34177.18,2026-07-15,settled
STL55343466,RZP5491326131,34466.51,2026-07-09,settled
STL47388792,RZP5759761714,63480.32,2026-07-06,settled
STL48683937,RZP4683935600,25070.37,2026-07-12,settled
STL12176998,RZP6638957137,3905.80,2026-07-14,settled
STL40532691,RZP3651968205,17990.38,2026-07-11,settled
STL36962876,RZP8363225516,51652.54,2026-07-15,reversed
STL90852623,RZP2014766981,11410.09,2026-07-04,settled
STL56930359,RZP3021598245,15368.18,2026-07-15,settled
STL42331952,RZP2194675791,38266.24,2026-07-09,pending
STL39709238,RZP5683197659,29299.14,2026-07-03,settled
STL17634247,RZP2346922426,4235.60,2026-07-08,settled
STL36883353,RZP8218541928,31276.49,2026-07-14,settled
STL76588957,RZP1217487269,69347.81,2026-07-12,settled
STL89398174,RZP1746087503,18123.06,2026-07-12,settled
STL26185823,RZP3549834042,39198.60,2026-07-01,settled
STL25659979,RZP8833399096,68249.38,2026-07-05,settled
STL53788744,RZP1561387824,22229.86,2026-07-15,settled
STL49945150,RZP5111732824,21285.98,2026-07-05,settled
STL72464258,RZP8102515984,52111.26,2026-07-01,settled
STL17966873,RZP2838963536,46403.26,2026-07-13,settled
STL91156554,RZP7560389844,72486.98,2026-07-14,settled
STL93650068,RZP2239534867,29282.99,2026-07-08,settled
STL41690501,RZP9730449971,28104.48,2026-07-08,settled
STL12404661,RZP8433124121,66954.48,2026-07-13,settled
STL13110670,RZP7505693643,37657.60,2026-07-05,settled
STL31079846,RZP4275930923,47100.87,2026-07-05,settled
STL90869462,RZP8991678061,53534.64,2026-07-15,reversed
