txn_id,reference_id,amount,date,narration
BTXN8099880573,RZP3660345628,64981.41,2026-07-01,RTGS-RZP3660345628-RAZORPAY SOFTWARE PVT LTD
BTXN3648572296,RZP6845987005,70844.56,2026-07-12,RTGS-RZP6845987005-RAZORPAY SOFTWARE PVT LTD
BTXN3780475472,RZP1213249628,64109.69,2026-07-13,NEFT CR-RZP1213249628-RAZORPAY
BTXN8284816444,RZP4714465905,55809.75,2026-07-09,RTGS-RZP4714465905-RAZORPAY SOFTWARE PVT LTD
BTXN9333798503,RZP7049001493,30478.83,2026-07-05,NEFT CR-RZP7049001493-RAZORPAY
BTXN1678500147,RZP6385791669,19521.84,2026-07-01,RTGS-RZP6385791669-RAZORPAY SOFTWARE PVT LTD
BTXN3878201524,RZP5162060546,35515.77,2026-07-07,IMPS/RZP5162060546/RAZORPAY SETTLEMENT
BTXN5728897164,RZP4939447721,58190.30,2026-07-14,IMPS/RZP4939447721/RAZORPAY SETTLEMENT
BTXN8171143901,RZP3813285701,73185.62,2026-07-04,RTGS-RZP3813285701-RAZORPAY SOFTWARE PVT LTD
BTXN4460319291,RZP7680134655,64295.00,2026-07-05,NEFT CR-RZP7680134655-RAZORPAY
BTXN4333816842,RZP8249315123,65074.73,2026-07-16,RTGS-RZP8249315123-RAZORPAY SOFTWARE PVT LTD
BTXN1732578761,RZP8822438146,71070.41,2026-07-06,RTGS-RZP8822438146-RAZORPAY SOFTWARE PVT LTD
BTXN7168105904,RZP8764011369,71920.09,2026-07-03,UPI-RAZORPAY SOFTWARE PVT LTD-RZP8764011369
BTXN5428082088,RZP9108603060,12487.38,2026-07-02,UPI-RAZORPAY SOFTWARE PVT LTD-RZP9108603060
BTXN5226555608,RZP4009805180,36619.04,2026-07-14,UPI-RAZORPAY SOFTWARE PVT LTD-RZP4009805180
BTXN5632753983,RZP4627032705,18627.08,2026-07-10,RTGS-RZP4627032705-RAZORPAY SOFTWARE PVT LTD
BTXN9147687657,RZP9070061596,51943.27,2026-07-01,RTGS-RZP9070061596-RAZORPAY SOFTWARE PVT LTD
BTXN8528596672,RZP5598615444,67057.21,2026-07-01,IMPS/RZP5598615444/RAZORPAY SETTLEMENT
BTXN7767834064,RZP4187043237,32998.36,2026-07-08,UPI-RAZORPAY SOFTWARE PVT LTD-RZP4187043237
BTXN4262396395,RZP3426665919,74272.36,2026-07-04,IMPS/RZP3426665919/RAZORPAY SETTLEMENT
BTXN7576117754,RZP4857962086,31622.65,2026-07-08,UPI-RAZORPAY SOFTWARE PVT LTD-RZP4857962086
BTXN8880079328,RZP5956268238,69982.65,2026-07-05,IMPS/RZP5956268238/RAZORPAY SETTLEMENT
